Region,Country,City,mean_PM10,Year,Number and location,Temporal coverage,Reference,,,,,,,,,,,,,,,,,,
,,,ug/m3,, of stations,(%),,,,,,,,,,,,,,,,,,,
EurHI,Bulgaria,Burgas,39,2008,"0 urban background, 1 suburban background, 0 urban traffic, and 0 traffic suburban stations",82,"European Environment Agency. AirBase: public air quality database - Air pollution. Available from: http://www.eea.europa.eu/themes/air/airbase, accessed 2 May 2011.",,,,,,,,,,,,,,,,,,
EurHI,Bulgaria,Pleven,57,2008,"1 urban background, 0 suburban background, 0 urban traffic, and 0 traffic suburban stations",90,"European Environment Agency. AirBase: public air quality database - Air pollution. Available from: http://www.eea.europa.eu/themes/air/airbase, accessed 2 May 2011.",,,,,,,,,,,,,,,,,,
EurHI,Bulgaria,Plovdiv,70,2008,"1 urban background, 0 suburban background, 0 urban traffic, and 0 traffic suburban stations",100,"European Environment Agency. AirBase: public air quality database - Air pollution. Available from: http://www.eea.europa.eu/themes/air/airbase, accessed 2 May 2011.",,,,,,,,,,,,,,,,,,
EurHI,Bulgaria,Ruse,36,2008,"0 urban background, 1 suburban background, 0 urban traffic, and 0 traffic suburban stations",100,"European Environment Agency. AirBase: public air quality database - Air pollution. Available from: http://www.eea.europa.eu/themes/air/airbase, accessed 2 May 2011.",,,,,,,,,,,,,,,,,,
EurHI,Bulgaria,Sofia,68,2008,"0 urban background, 3 suburban background, 1 urban traffic, and 1 traffic suburban stations",95,"European Environment Agency. AirBase: public air quality database - Air pollution. Available from: http://www.eea.europa.eu/themes/air/airbase, accessed 2 May 2011.",,,,,,,,,,,,,,,,,,
EurHI,Bulgaria,Stara Zagora,37,2008,"1 urban background, 0 suburban background, 1 urban traffic, and 0 traffic suburban stations",90,"European Environment Agency. AirBase: public air quality database - Air pollution. Available from: http://www.eea.europa.eu/themes/air/airbase, accessed 2 May 2011.",,,,,,,,,,,,,,,,,,
AmrHI,Canada,Barrie,18,2008,1 urban residential station,NA,"Ministry of Environment (personal communication, November 2011), calculated from PM2.5",,,,,,,,,,,,,,,,,,
AmrHI,Canada,Bathurst,19,2008,1 urban residential station,NA,"Ministry of Environment (personal communication, November 2011), calculated from PM2.5",,,,,,,,,,,,,,,,,,
AmrHI,Canada,Bécancour,16,2008,1 urban residential station,NA,"Ministry of Environment (personal communication, November 2011), calculated from PM2.5",,,,,,,,,,,,,,,,,,
AmrHI,Canada,Belleville,18,2008,1 urban residential station,NA,"Ministry of Environment (personal communication, November 2011), calculated from PM2.5",,,,,,,,,,,,,,,,,,
AmrHI,Canada,Brandon,24,2008,1 urban residential station,NA,"Ministry of Environment (personal communication, November 2011)",,,,,,,,,,,,,,,,,,
AmrHI,Canada,Brantford,21,2008,1 Urban Commercial station,NA,"Ministry of Environment (personal communication, November 2011), calculated from PM2.5",,,,,,,,,,,,,,,,,,
AmrHI,Canada,Burns Lake,16,2008,1 urban residential station,NA,"Ministry of Environment (personal communication, November 2011)",,,,,,,,,,,,,,,,,,
AmrHI,Canada,Calgary,26,2008,1 urban commercial  and 1 unknown stations,NA,"Ministry of Environment (personal communication, November 2011)",,,,,,,,,,,,,,,,,,
AmrHI,Canada,Campbell River,10,2008,2 urban residential stations,NA,"Ministry of Environment (personal communication, November 2011)",,,,,,,,,,,,,,,,,,
AmrHI,Canada,Chatham,22,2008,1 Urban Commercial station,NA,"Ministry of Environment (personal communication, November 2011), calculated from PM2.5",,,,,,,,,,,,,,,,,,
AmrHI,Canada,Chilliwack,12,2008,1 urban residential station,NA,"Ministry of Environment (personal communication, November 2011)",,,,,,,,,,,,,,,,,,
AmrHI,Canada,Corner Brook,11,2008,1 Urban Commercial station,NA,"Ministry of Environment (personal communication, November 2011), calculated from PM2.5",,,,,,,,,,,,,,,,,,
AmrHI,Canada,Cornwall,18,2008,1 urban residential station,NA,"Ministry of Environment (personal communication, November 2011), calculated from PM2.5",,,,,,,,,,,,,,,,,,
AmrHI,Canada,Creston,17,2008,1 unknown station,NA,"Ministry of Environment (personal communication, November 2011)",,,,,,,,,,,,,,,,,,
AmrHI,Canada,Dawson Creek,13,2008,1 unknown station,NA,"Ministry of Environment (personal communication, November 2011)",,,,,,,,,,,,,,,,,,
AmrHI,Canada,Drayton Valley,23,2008,1 urban residential station,NA,"Ministry of Environment (personal communication, November 2011)",,,,,,,,,,,,,,,,,,
AmrHI,Canada,Duncan,10,2008,1 unknown station,NA,"Ministry of Environment (personal communication, November 2011)",,,,,,,,,,,,,,,,,,
AmrHI,Canada,Edmonton,16,2008,1 Urban residential and 1 urban commercial stations,NA,"Ministry of Environment (personal communication, November 2011)",,,,,,,,,,,,,,,,,,
AmrHI,Canada,Edson,13,2008,1 urban residential station,NA,"Ministry of Environment (personal communication, November 2011), calculated from PM2.5",,,,,,,,,,,,,,,,,,
AmrHI,Canada,Essex,21,2008,1 Urban Commercial station,NA,"Ministry of Environment (personal communication, November 2011), calculated from PM2.5",,,,,,,,,,,,,,,,,,
AmrHI,Canada,Flin Flon,17,2008,1 Urban Commercial station,NA,"Ministry of Environment (personal communication, November 2011)",,,,,,,,,,,,,,,,,,
AmrHI,Canada,Fort Mcmurray,15,2008,3 urban residential stations,NA,"Ministry of Environment (personal communication, November 2011), calculated from PM2.5",,,,,,,,,,,,,,,,,,
AmrHI,Canada,Fort St. John,19,2008,1 unknown station,NA,"Ministry of Environment (personal communication, November 2011)",,,,,,,,,,,,,,,,,,
AmrHI,Canada,Fredericton,12,2008,1 Urban Commercial station,NA,"Ministry of Environment (personal communication, November 2011), calculated from PM2.5",,,,,,,,,,,,,,,,,,
AmrHI,Canada,Grand Forks,18,2008,1 urban residential station,NA,"Ministry of Environment (personal communication, November 2011), calculated from PM2.5",,,,,,,,,,,,,,,,,,
AmrHI,Canada,Grande Prairie,12,2008,1 Urban residential station,NA,"Ministry of Environment (personal communication, November 2011), calculated from PM2.5",,,,,,,,,,,,,,,,,,
AmrHI,Canada,Guelph,19,2008,1 urban residential station,NA,"Ministry of Environment (personal communication, November 2011), calculated from PM2.5",,,,,,,,,,,,,,,,,,
AmrHI,Canada,Halifax,14,2008,1 Urban residential and 1 urban commercial stations,NA,"Ministry of Environment (personal communication, November 2011), calculated from PM2.5",,,,,,,,,,,,,,,,,,
AmrHI,Canada,Hamilton,24,2008,1 Urban residential and 1 urban commercial stations,NA,"Ministry of Environment (personal communication, November 2011), calculated from PM2.5",,,,,,,,,,,,,,,,,,
AmrHI,Canada,Hinton,36,2008,1 unknown station,NA,"Ministry of Environment (personal communication, November 2011)",,,,,,,,,,,,,,,,,,
